,Model,accuracy,confusion,f1,precision,recall,train_size
107,SVM W2V,0.5395507147719537,"[[195.4  32.2  58.   37.   36.4]
 [ 53.2 210.2  32.4  45.2  41.6]
 [ 13.8   9.2  37.   14.   12.6]
 [ 55.6  47.4  72.  246.   33. ]
 [ 23.6  18.   18.4  22.8 104. ]]",0.5005299369823064,0.507868061502659,0.5278160869495363,880
108,SVM Hybrid,0.868073519400953,"[[296.8   6.   22.2  10.2   4.8]
 [  6.4 291.6   5.8   5.8   5. ]
 [ 21.    5.  146.2  20.8   2.4]
 [ 11.2   8.6  42.  326.4   1.2]
 [  6.2   5.8   1.6   1.8 214.2]]",0.8609105268763194,0.8591790312971487,0.8646538758955394,880
109,SVM Hybrid B,0.8646698434309054,"[[296.    5.4  20.6   8.8   2.8]
 [  5.8 290.4   7.8   5.    4.6]
 [ 22.8   8.4 145.2  25.8   4.8]
 [ 12.4   6.6  43.8 324.2   1. ]
 [  4.6   6.2   0.4   1.2 214.4]]",0.8572796911650233,0.8559569041265431,0.8598036905816144,880
110,SVM BoW,0.8670398880335901,"[[288.8   4.8  21.4   7.8   3.6]
 [  6.  286.8   5.8   5.2   4. ]
 [ 22.8   8.2 141.6  25.6   4.6]
 [ 11.6   4.4  43.  313.8   0.4]
 [  3.8   4.8   0.8   1.4 208. ]]",0.8595610497013662,0.8584337663364003,0.8620441869623938,920
111,SVM TFIDF,0.8736179146256123,"[[292.4   6.6  22.2   8.2   4.2]
 [  7.2 288.8   5.4   6.4   3.8]
 [ 17.2   4.2 139.2  19.2   2. ]
 [ 11.2   4.6  44.  317.8   0.4]
 [  5.    4.8   1.8   2.2 210.2]]",0.8655667094528013,0.8638424502165254,0.8702709483681307,920
112,SVM W2V,0.5392582225332401,"[[188.4  32.2  57.   35.4  36. ]
 [ 52.8 205.2  30.8  41.8  39.8]
 [ 13.2   7.4  35.2  14.6  11.8]
 [ 55.8  46.4  70.8 240.4  31.6]
 [ 22.8  17.8  18.8  21.6 101.4]]",0.4997165784006775,0.5077126439257116,0.5278935961030704,920
113,SVM Hybrid,0.8701189643107068,"[[290.8   5.8  21.2   9.2   4.6]
 [  6.2 284.2   5.    5.8   5. ]
 [ 19.2   4.6 144.8  21.    2.8]
 [ 11.8   9.   40.4 316.6   1.2]
 [  5.    5.4   1.2   1.2 207. ]]",0.8636711441493837,0.8615669159111844,0.8675456059941631,920
114,SVM Hybrid B,0.8660601819454163,"[[288.8   5.4  20.4   8.6   3.4]
 [  5.8 283.4   5.8   5.2   4.6]
 [ 21.    7.8 144.6  25.6   4.4]
 [ 12.6   7.   41.2 313.4   0.8]
 [  4.8   5.4   0.6   1.  207.4]]",0.8596025067280987,0.8583201242429848,0.8620831484546498,920
115,SVM BoW,0.8670986321094313,"[[279.8   3.4  20.4   7.8   3.4]
 [  5.6 277.6   4.4   5.4   3.8]
 [ 23.8   8.2 140.4  26.4   4.4]
 [ 10.6   4.6  39.4 303.4   0.4]
 [  3.6   5.8   1.2   2.  203.2]]",0.8599877276477448,0.8598237973475445,0.8612585345560737,960
116,SVM TFIDF,0.8731461483081354,"[[2.850e+02 7.800e+00 2.120e+01 9.600e+00 3.400e+00]
 [5.200e+00 2.786e+02 5.400e+00 6.800e+00 4.200e+00]
 [1.820e+01 3.800e+00 1.366e+02 1.900e+01 2.000e+00]
 [1.040e+01 4.400e+00 4.100e+01 3.072e+02 2.000e-01]
 [4.600e+00 5.000e+00 1.600e+00 2.400e+00 2.054e+02]]",0.8655186027724955,0.8641489053299078,0.8695322150339144,960
117,SVM W2V,0.5412526997840172,"[[186.   33.2  56.6  36.   35.8]
 [ 48.4 198.6  30.8  40.6  39.2]
 [ 12.4   7.6  34.6  14.8  11.8]
 [ 54.2  43.6  66.2 233.4  29.2]
 [ 22.4  16.6  17.6  20.2  99.2]]",0.5022051869554416,0.5096814226348899,0.5300852494191911,960
118,SVM Hybrid,0.8698344132469403,"[[2.838e+02 6.800e+00 2.000e+01 9.200e+00 4.000e+00]
 [5.800e+00 2.752e+02 5.000e+00 6.000e+00 4.800e+00]
 [1.900e+01 4.200e+00 1.408e+02 2.240e+01 3.200e+00]
 [1.040e+01 7.600e+00 3.980e+01 3.058e+02 6.000e-01]
 [4.400e+00 5.800e+00 2.000e-01 1.600e+00 2.026e+02]]",0.8634289781053625,0.8617729026268824,0.8665198648306728,960
119,SVM Hybrid B,0.8646508279337655,"[[280.6   5.2  19.6  10.    3.4]
 [  5.6 275.2   5.4   5.4   4.2]
 [ 20.8   7.  140.6  25.4   4.8]
 [ 11.6   5.8  39.8 302.6   0.8]
 [  4.8   6.4   0.4   1.6 202. ]]",0.8580110063026101,0.8573313592354144,0.8598122944700665,960
120,SVM BoW,0.8683469236471459,"[[271.    3.2  20.2   8.8   3.4]
 [  6.  272.2   3.8   5.    3.6]
 [ 23.4   8.4 138.2  23.6   4.4]
 [ 10.8   3.4  38.  295.    0.4]
 [  4.2   4.8   1.    1.2 195. ]]",0.8617014501585356,0.8614995099768883,0.8632992615839349,1000
121,SVM TFIDF,0.8793180133432171,"[[2.786e+02 5.400e+00 2.000e+01 8.800e+00 3.800e+00]
 [5.800e+00 2.744e+02 5.800e+00 5.600e+00 4.000e+00]
 [1.720e+01 4.000e+00 1.352e+02 1.540e+01 2.200e+00]
 [9.200e+00 3.400e+00 3.860e+01 3.014e+02 2.000e-01]
 [4.600e+00 4.800e+00 1.600e+00 2.400e+00 1.966e+02]]",0.8715173276804038,0.8700291415573387,0.8755188394958411,1000
122,SVM W2V,0.5402520385470718,"[[180.   31.6  53.8  34.   33. ]
 [ 48.8 191.4  28.4  38.4  37.2]
 [ 12.8   7.6  33.8  14.   10.8]
 [ 50.6  44.6  67.  227.4  29.6]
 [ 23.2  16.8  18.2  19.8  96.2]]",0.5011633851339753,0.5091418568889284,0.5279991587272408,1000
123,SVM Hybrid,0.8711638250555968,"[[277.    6.8  18.6   9.2   4.4]
 [  6.  268.6   5.2   5.4   4.4]
 [ 18.2   4.  138.   19.4   3.2]
 [ 10.    7.6  39.  297.4   0.6]
 [  4.2   5.    0.4   2.2 194.2]]",0.8650489595697349,0.8630879598613441,0.8686765508719384,1000
124,SVM Hybrid B,0.8644922164566345,"[[273.    5.4  18.2  11.2   3.2]
 [  5.6 269.    4.8   4.    3.8]
 [ 21.    6.8 138.2  25.2   5. ]
 [ 11.6   5.6  39.2 292.    0.8]
 [  4.2   5.2   0.8   1.2 194. ]]",0.8585833188558466,0.8577562004046975,0.860524361863407,1000
