,Model,accuracy,confusion,f1,precision,recall,train_size
96,LSTM BoW,0.9796886582653818,"[[3.284e+02 2.400e+00 0.000e+00 0.000e+00 5.200e+00]
 [1.200e+00 3.096e+02 1.400e+00 1.000e+00 5.200e+00]
 [2.000e-01 2.000e-01 2.902e+02 2.200e+00 1.000e+00]
 [0.000e+00 1.800e+00 4.000e-01 2.036e+02 0.000e+00]
 [3.800e+00 1.400e+00 0.000e+00 0.000e+00 1.898e+02]]",0.9786981849331496,0.977622789231738,0.9799412038414079,1000
97,LSTM TFIDF,0.9737583395107487,"[[3.282e+02 4.600e+00 8.000e-01 0.000e+00 9.800e+00]
 [1.600e+00 3.068e+02 1.400e+00 4.000e-01 4.600e+00]
 [0.000e+00 1.000e+00 2.890e+02 2.200e+00 1.200e+00]
 [0.000e+00 1.600e+00 6.000e-01 2.042e+02 2.000e-01]
 [3.800e+00 1.400e+00 2.000e-01 0.000e+00 1.854e+02]]",0.9728574179711632,0.9710895591476095,0.9750462486931367,1000
98,LSTM W2V,0.984581171237954,"[[3.276e+02 0.000e+00 2.000e-01 2.000e-01 4.000e+00]
 [2.000e+00 3.128e+02 4.000e-01 6.000e-01 4.200e+00]
 [2.000e-01 4.000e-01 2.912e+02 1.400e+00 6.000e-01]
 [0.000e+00 6.000e-01 2.000e-01 2.042e+02 0.000e+00]
 [3.800e+00 1.600e+00 0.000e+00 4.000e-01 1.924e+02]]",0.9836784111976289,0.9829778642061179,0.9844517217748349,1000
99,LSTM Hybrid,0.9865085248332098,"[[3.288e+02 0.000e+00 0.000e+00 0.000e+00 4.200e+00]
 [1.600e+00 3.140e+02 4.000e-01 4.000e-01 4.200e+00]
 [2.000e-01 6.000e-01 2.916e+02 1.000e+00 1.600e+00]
 [0.000e+00 8.000e-01 0.000e+00 2.054e+02 2.000e-01]
 [3.000e+00 0.000e+00 0.000e+00 0.000e+00 1.910e+02]]",0.9856409221361846,0.9844816003106663,0.9869915159269999,1000
100,LSTM BoW,0.9809014514896868,"[[320.8   1.6   0.    0.    5.6]
 [  1.2 300.8   0.6   0.4   4.8]
 [  0.    0.  281.6   1.6   1. ]
 [  0.    1.8   0.4 197.2   0.4]
 [  4.2   1.4   0.    0.  183.6]]",0.9796564329074069,0.9788182586931313,0.9806578854505833,1040
101,LSTM TFIDF,0.9773873185637891,"[[3.216e+02 3.000e+00 2.000e-01 0.000e+00 8.200e+00]
 [1.600e+00 2.992e+02 6.000e-01 4.000e-01 5.200e+00]
 [0.000e+00 1.000e+00 2.808e+02 1.800e+00 1.000e+00]
 [2.000e-01 1.000e+00 4.000e-01 1.968e+02 0.000e+00]
 [2.800e+00 1.400e+00 6.000e-01 2.000e-01 1.810e+02]]",0.9763396288650272,0.9746048423631132,0.9784075071049362,1040
102,LSTM W2V,0.9874713521772346,"[[3.210e+02 0.000e+00 0.000e+00 8.000e-01 4.000e+00]
 [2.800e+00 3.048e+02 0.000e+00 4.000e-01 4.000e+00]
 [0.000e+00 0.000e+00 2.826e+02 1.000e+00 0.000e+00]
 [0.000e+00 6.000e-01 0.000e+00 1.968e+02 0.000e+00]
 [2.400e+00 2.000e-01 0.000e+00 2.000e-01 1.874e+02]]",0.9868627634831059,0.9856841992072027,0.9881743604860354,1040
103,LSTM Hybrid,0.9886936592818947,"[[322.2   0.    0.    0.    4. ]
 [  1.  305.2   0.    0.4   4. ]
 [  0.    0.  282.6   1.    1. ]
 [  0.    0.4   0.  197.8   0. ]
 [  3.    0.    0.    0.  186.4]]",0.9878031130579892,0.9866643825925839,0.9890730334540944,1040
104,LSTM BoW,0.9815602836879431,"[[3.086e+02 1.600e+00 2.000e-01 0.000e+00 5.000e+00]
 [1.400e+00 2.930e+02 6.000e-01 4.000e-01 5.200e+00]
 [2.000e-01 2.000e-01 2.728e+02 1.800e+00 1.000e+00]
 [0.000e+00 1.400e+00 4.000e-01 1.922e+02 2.000e-01]
 [2.000e+00 1.600e+00 2.000e-01 0.000e+00 1.790e+02]]",0.9805364338352467,0.9793070580148251,0.9819961681504268,1080
105,LSTM TFIDF,0.9779353821907012,"[[3.082e+02 2.200e+00 6.000e-01 0.000e+00 7.000e+00]
 [1.600e+00 2.912e+02 6.000e-01 4.000e-01 4.600e+00]
 [0.000e+00 1.000e+00 2.720e+02 2.000e+00 1.000e+00]
 [0.000e+00 1.600e+00 6.000e-01 1.918e+02 0.000e+00]
 [2.400e+00 1.800e+00 4.000e-01 2.000e-01 1.778e+02]]",0.9769244737418841,0.9755701286889421,0.9785428954575623,1080
